Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,799.4285714,,,,,,,,
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,643.657563,,,,,,,,
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,232.1869748,,,,,,,,
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,127.8497899,,,,,,,,
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,217.4915966,,,,,,,,
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,276.2731092,,,,,,,,
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,129.3193277,,,,,,,,
2010,2,201002,Broome,Perth,Broome - Perth,278,408.5315126,,,,,,,,
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,402.6533613,,,,,,,,
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,555.4852941,,,,,,,,
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,526.0945378,,,,,,,,
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,173.4054622,,,,,,,,
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,111.6848739,,,,,,,,
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,188.1008403,,,,,,,,
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,321.8287815,,,,,,,,
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,467.3130252,,,,,,,,
2010,2,201002,Darwin,Perth,Darwin - Perth,398,584.8760504,,,,,,,,
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,643.657563,,,,,,,,
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,396.7752101,,,,,,,,
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,364.4453782,,,,,,,,
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,533.4422269,,,,,,,,
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,111.6848739,,,,,,,,
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,393.8361345,,,,,,,,
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,558.4243697,,,,,,,,
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,96.9894958,,,,,,,,
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,305.6638655,,,,,,,,
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,521.6859244,,,,,,,,
2010,2,201002,Karratha,Perth,Karratha - Perth,368,540.789916,,,,,,,,
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,151.362395,,,,,,,,
2010,2,201002,Launceston,Sydney,Launceston - Sydney,209.9,308.4559874,,,,,,,,
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,288.0294118,,,,,,,,
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,379.1407563,,,,,,,,
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,199.8571429,,,,,,,,
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,220.4306723,,,,,,,,
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,526.0945378,,,,,,,,
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,96.9894958,,,,,,,,
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,220.4306723,,,,,,,,
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,630.4317227,,,,,,,,
2010,2,201002,Perth,Newman,Perth - Newman,358,526.0945378,,,,,,,,
